pitch,yoffset_layer,yoffset_plane,zshift_layer,zshift_plane,zshift_view,alpha,reconstructible,reco_passed_no_clones
3.6,3.436776723741808,1.1288100610296852,2.2105711698044437,6.893521524822344,11.797108377054156,8.701587002554444,157.0,119.0
3.6,3.4910980948155403,3.638826175020831,2.3185190406705107,6.63302364129209,11.303922519005203,13.511366715168569,135.0,60.0
3.6,1.934191158623588,1.7236733957698407,1.5662662637498832,6.826156361916072,11.784093110354226,8.594911512197553,155.0,145.0
3.6,3.3724415233921987,2.453974366426846,2.2632050721312393,4.947135325358527,11.594590731559107,13.698963620621285,135.0,112.0
3.6,3.2511623036275106,3.225302068793765,2.6979898680162253,5.830483994272402,11.440073073092151,5.547616388220314,147.0,74.0
3.6,2.1768287820060785,4.451454895654726,1.570058905046696,4.315156615805563,11.085448886695195,5.046320230046028,153.0,151.0
3.6,2.972219358674686,2.6250547594670315,2.175646154042182,5.299965954960661,10.12028468520157,10.156794276964977,154.0,131.0
3.6,2.2445618383295995,2.9204020378170896,1.7172505038654124,6.557274509343021,11.241857134956863,6.107205933263158,150.0,139.0
3.6,2.1565757389675317,3.6243054204790868,2.5478268085363425,4.6872885210796,10.520573715132006,12.431931987316036,157.0,137.0
3.6,2.2055704739122235,4.445962762107151,1.918104934883216,5.953860767959538,11.093296440375576,5.789691621908285,148.0,145.0
3.6,3.5487588436218918,3.856313817180816,2.3530362463612016,5.01053101017294,10.518669794634187,9.834074359731467,129.0,48.0
3.6,2.2945167459351348,4.14883190622903,2.6990572194565616,5.2406309521061445,10.261304687646923,5.19116094429764,180.0,167.0
3.6,3.4573798952340438,1.9410748066654195,2.774990811609221,6.585855703546571,11.9943647078059,10.788067545119405,146.0,137.0
3.6,2.8520080375633667,2.0153047511608886,1.9190977126175872,5.611988272826243,11.118118569893202,11.323913243283876,169.0,164.0
3.6,2.540144732390255,2.53715163318958,1.9302191590696165,4.0620532982892215,10.62775099344494,10.712604699370974,143.0,137.0
3.6,1.8700884300377985,3.057487618101976,1.3302860586233212,4.769096611747737,11.719589349623293,13.74071773305185,138.0,134.0
3.6,2.2119758324702983,4.359312528943769,1.9361383473176388,4.0100445964684885,10.459653451595235,14.207396503426356,147.0,138.0
3.6,1.9116661745318069,1.1854090246722904,2.4539762352925893,5.253777627483757,10.008374887255917,10.7835976311654,151.0,148.0
3.6,2.1851904216569644,3.7148072867888033,2.613646254166997,6.0698817202724005,11.326292497950414,5.3559023080647625,170.0,140.0
3.6,3.478955290308564,2.9702180644517324,2.319482359040668,4.9928112444425885,10.837939547559051,8.412444497577205,153.0,98.0
3.6,2.625333411936628,2.4388795014000806,2.5103003598712723,5.48555837846779,11.025749484610536,13.614456860213242,179.0,169.0
3.6,1.9115037334421785,1.7990790452256789,2.433884430475921,5.779840596349449,11.728732532911947,5.50175350319974,174.0,147.0
3.6,2.7788167267051445,4.349297231296187,2.4715595949336477,5.909589959852173,11.292814750456175,7.6355147949677775,139.0,105.0
3.6,3.382907502252952,1.0605171338429185,2.091614314116491,7.300497607108199,11.811823342469294,13.759330221862047,136.0,113.0
3.6,1.812765262993868,4.2561607821155,2.4179284358084883,4.674501032619554,10.163876878076293,9.873748079212447,150.0,150.0
3.6,2.920635716099007,3.753143163436812,3.0219417842999645,5.0263109232116685,10.989194105527515,13.644029871943975,159.0,101.0
3.6,1.8179446225221332,1.8669561584925511,1.9528173694016344,6.949097703686937,11.492904257714226,8.02767607617425,155.0,149.0
3.6,2.095314458877604,1.6898018011064866,2.33271007387084,4.538550055714404,10.420552355803725,14.53703626491708,143.0,141.0
3.6,2.3133358728180857,2.57166089957571,1.9394933108909185,6.1203566968366925,11.131777210203516,11.421102350255213,142.0,141.0
3.6,2.3908591606992067,2.039287622621395,1.7890887812216745,6.6098358724484685,11.276279805032539,9.70816419365898,154.0,149.0
3.6,3.5309005960580047,2.219895720347244,3.1212356983647016,5.1730215802460515,11.081531262601088,11.670368571253539,167.0,139.0
3.6,2.510653109180861,3.6543837298792714,2.3472955853532698,5.520261954590341,10.271033747121509,14.055821375731323,162.0,115.0
3.6,3.4394835965947133,4.103096365063368,2.3891181984302587,6.5158562106770175,11.824509122202313,9.444799779777911,139.0,65.0
3.6,2.736414880385562,1.6250367700579946,2.458314852329306,5.505170199887601,10.489431194047402,6.9041349602491024,146.0,142.0
3.6,2.578386900089705,4.205826127367848,2.143553135036285,6.3504553908979595,10.884787481496387,14.639160120731885,145.0,122.0
3.6,2.2833001371554915,2.350027922567382,2.999893122336448,5.4517646176208725,11.700635416315198,8.509756239260913,162.0,156.0
3.6,2.3637276912665435,1.1600256537809202,1.7959298351545927,6.802021100939053,11.007777593582547,7.230900184453557,164.0,161.0
3.6,1.9186058970575508,1.4495693923468216,1.290915928574342,6.44481074183707,10.317072316999845,14.568356675430632,168.0,167.0
3.6,1.953360859607392,4.341307679863359,1.7380310589286658,6.826089797386468,11.600728376910693,6.436876251842128,142.0,138.0
3.6,2.8788543931288784,1.4150930235023302,1.9226111240721329,6.563165281909888,10.730167346568802,9.623614472477394,149.0,145.0
3.6,1.8,0.9,4.305524787739459,4.858680834495748,12.0,10.983638581847732,162.0,158.0
3.6,1.8,0.9,5.979497770794155,4.429229762306014,12.0,10.740321972293831,160.0,137.0
3.6,1.8,0.9,7.8886232188120795,3.0039710349468174,12.0,10.247964457390523,167.0,142.0
