pitch,yoffset_layer,yoffset_plane,zshift_layer,zshift_plane,zshift_view,alpha,objective
3.6,2.2312114032005503,2.286351822966932,2.4564898411883225,5.475212749207415,10.0,5.0,0.902985074627
3.6,2.0608107697642017,3.964092017460685,2.2586936316189448,5.072666027740929,10.0,5.0,0.972677595628
3.6,2.2356994887207007,2.9044845448500607,2.242419278206316,5.2778753128725775,10.0,5.0,0.877840909091
3.6,3.170915307591692,3.4057072680299028,2.185775581273464,5.205981925982378,10.0,5.0,0.574850299401
3.6,3.1107894275013472,1.2498353775747668,2.17547417787588,4.156453748804217,10.0,5.0,0.842391304348
3.6,2.4620096388946555,3.1140260161170112,1.988169926206522,4.152578740331315,10.0,5.0,0.7672413793100001
3.6,2.9381504950684434,4.464193860375348,2.2432882184423533,5.74763090634819,10.0,5.0,0.655080213904
3.6,2.7643944313345648,2.7659867485094525,2.1456167893159352,5.550106295291479,10.0,5.0,0.584210526316
3.6,3.3035444920606283,3.5667670239151366,1.9861026378007745,4.924611738571112,10.0,5.0,0.595238095238
3.6,2.3774041169491245,3.4092566675829645,2.5611905638239145,4.657136258845582,10.0,5.0,0.837438423645
3.6,1.873395254798575,2.1941681443911185,1.7957911347892963,4.4707875155583565,10.0,5.0,1.0
3.6,2.0475376994627883,3.764853609969964,1.8818547747733998,5.369293532510446,10.0,5.0,0.9675
3.6,2.4139194318904647,4.104019230543239,1.7181648276216563,5.688195914405787,10.0,5.0,0.791443850267
3.6,3.464448512901413,2.2520986295037986,2.2289428467798844,5.16362319430332,10.0,5.0,0.892156862745
3.6,2.2642949298872797,2.9818085075862264,2.335071043803886,5.552942935769299,10.0,5.0,0.829787234043
3.6,1.9675849820506184,1.009800899780578,2.5905051420006733,5.1669702583571375,10.0,5.0,0.9842931937170001
3.6,3.4149883643159886,1.0344534794971718,2.0126176769114266,5.66039779340461,10.0,5.0,0.802083333333
3.6,2.9395826230918827,2.1966863090805457,2.3764129607419973,4.364363479171284,10.0,5.0,0.853723404255
3.6,2.410253623887661,1.3574178455467854,1.9408035402530184,5.1910952148199465,10.0,5.0,0.8402061855670001
3.6,2.4285772343027903,2.780075736197296,2.530757325603565,4.860056684078158,10.0,5.0,0.7650273224040001
3.6,3.4147984679146384,1.6769556989886354,2.0289940273750187,4.033203910894954,10.0,5.0,0.9883720930230001
3.6,1.951451936991088,2.812876673645333,2.5025529066795658,5.408289099032363,10.0,5.0,0.988888888889
3.6,2.090931685370305,2.846286437796384,2.105252372447857,4.728582848858983,10.0,5.0,0.932584269663
3.6,2.891572307387262,3.513928801401581,1.920049601030612,5.8541935176616375,10.0,5.0,0.718421052632
3.6,1.8165546929099328,4.413067486065125,2.495523228496201,4.2878508180346735,10.0,5.0,1.0
3.6,2.0894544925514977,1.8749961045434669,1.6912866767861336,5.97715852516508,10.0,5.0,1.0
3.6,2.787720820859855,2.48029711454029,1.9193136375904152,5.640245587807369,10.0,5.0,0.728723404255
3.6,3.045411355846848,1.1824429728321575,2.550061967050805,5.054729108871856,10.0,5.0,0.754285714286
3.6,2.2270483574942403,3.4055071419373126,2.04844552197832,3.879100923491756,10.0,5.0,0.890374331551
3.6,2.3857194566866817,2.372230599891372,1.8932107716980648,4.929390100634149,10.0,5.0,0.7890625
3.6,3.3286021388895204,1.8008744333925433,2.35237452943768,4.251250673310585,10.0,5.0,0.994252873563
3.6,2.983703206140618,2.8772159929420336,2.3915790437258493,5.582392146056407,10.0,5.0,0.596774193548
3.6,2.822955486003849,3.4725453217202245,2.3896181427945544,4.942672569893063,10.0,5.0,0.702631578947
3.6,2.2773642618271057,4.337515010387499,1.6575587600166444,6.314986114133411,10.0,5.0,0.843930635838
3.6,2.2391813580823503,3.5564289001047658,2.1495288823237355,5.206079479384911,10.0,5.0,0.909090909091
3.6,3.551418998554402,2.8956745890410427,2.0415305013733773,5.044458507012996,10.0,5.0,0.752525252525
3.6,2.5075759044001686,3.102194686443668,2.4877041827582995,4.620221215792118,10.0,5.0,0.722826086957
3.6,2.15143737803648,1.0656095112783102,1.6841068061149975,6.10696224554153,10.0,5.0,0.924324324324
3.6,1.843768739576617,3.433168293768085,2.4218600592903563,4.5420443052295925,10.0,5.0,1.0
3.6,2.9618501326329016,2.607025784714371,2.3062422271564964,5.1516324059302825,10.0,5.0,0.666666666667
3.6,2.1187992229326884,1.2522029783436053,1.6813487806419,4.187478245454485,10.0,5.0,0.9368421052629999
3.6,2.4662856604598,2.461865937256703,1.970642147066891,5.81510205321757,10.0,5.0,0.798469387755
3.6,3.4709734126579064,3.1170603529879792,2.5472485773838587,4.874488154098522,10.0,5.0,0.6855345911949999
3.6,3.125599624124501,4.1136181598771095,2.2587833667107176,4.321685747658462,10.0,5.0,0.561170212766
3.6,3.481860626584227,3.8427968222583866,2.2922765645178527,4.988726056707977,10.0,5.0,0.593984962406
3.6,2.611510868527438,1.833924360352653,1.849668008859186,5.8880618541613785,10.0,5.0,0.987179487179
3.6,2.0038284825133594,2.2668926694021607,2.089424963643141,4.261687719019565,10.0,5.0,0.9873737373739999
3.6,3.3100165556026813,1.8650291069623544,2.587668007996647,4.473321715509981,10.0,5.0,0.9945355191259999
3.6,2.0243928261658803,3.1469360682568825,2.5440593396866134,4.471452844467869,10.0,5.0,0.968421052632
3.6,3.3658134517118308,2.887369851067129,2.305575172515689,5.578819804525108,10.0,5.0,0.665803108808
3.6,1.8985709498796564,3.6489808589751385,2.5154882975880417,4.596800127766118,10.0,5.0,0.993630573248
3.6,2.4033550349626216,1.4044074327592293,1.6339459785857988,4.188544763848412,10.0,5.0,0.8602150537630001
3.6,3.455740109542969,0.9808895099524226,2.0742142166574644,5.4525721118274175,10.0,5.0,0.808383233533
3.6,2.42451576341321,2.849883172779121,2.4445493985350706,5.0253596392120965,10.0,5.0,0.757894736842
3.6,2.6139922936016533,1.8283956675595283,2.4289154741506773,4.579261351280978,10.0,5.0,0.994594594595
3.6,2.204288681291968,1.4016818666621669,1.6370076347154927,5.970260341065755,10.0,5.0,0.9228571428569999
3.6,2.6143911290388484,3.9057488524774766,2.1962698784820534,5.287627205236311,10.0,5.0,0.75495049505
3.6,2.05354263668364,4.443847850532788,1.8300088372877032,4.043138647722944,10.0,5.0,0.947916666667
3.6,2.117496575711202,2.792484656289669,1.7205668857772791,4.460549605849433,10.0,5.0,0.95
3.6,2.45230901840994,4.1914757036177965,2.3247667715287617,5.285439581041922,10.0,5.0,0.7816091954019999
3.6,2.9380757182551545,2.9754593118513126,1.9152903378306103,5.577223353978553,10.0,5.0,0.6295336787560001
3.6,2.9943672696300787,2.8950408090568565,2.390723164838964,4.843427623706579,10.0,5.0,0.5975
